Class,Role Stereotype,Design Smell,Cause of the Smell
com.eteks.sweethome3d.j3d.Max3DSLoader$ChunkID,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id"
com.eteks.sweethome3d.j3d.ModelManager,Controller,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: WINDOW_PANE_SHAPE_PREFIX; MIRROR_SHAPE_PREFIX; LIGHT_SHAPE_PREFIX; WINDOW_PANE_TRANSPARENCY_ATTRIBUTES; DEFAULT_MATERIAL; MINIMUM_SIZE; ADDITIONAL_LOADER_CLASSES; instance; loadedModelNodes; loadingModelObservers; transformedModelNodeBounds; modelsLoader; additionalLoaderClasses; parsedShapes
com.eteks.sweethome3d.j3d.ModelManager,Controller,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: Group; Content in method computeBounds
com.eteks.sweethome3d.j3d.ModelManager,Controller,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 24 public methods
com.eteks.sweethome3d.j3d.Object3DBranchFactory,Service Provider,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: HomePieceOfFurniture; Wall; Room; Label in method createObject3D
com.eteks.sweethome3d.j3d.Object3DBranchFactory,Service Provider,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: HomePieceOfFurniture; Wall; Room; Label in method createObject3D
com.eteks.sweethome3d.j3d.OBJLoader,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.j3d.OBJLoader,Service Provider,Insufficient Modularization,The tool detected the smell in this class because the class is highly complex. The sum of cyclomatic complexity of all methods of this class (i.e. WMC) is: 136
com.eteks.sweethome3d.j3d.OBJLoader$Line,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.j3d.OBJLoader$Line,Information Holder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Geometry
com.eteks.sweethome3d.j3d.OBJLoader$Face,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.j3d.OBJLoader$Face,Information Holder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Geometry
com.eteks.sweethome3d.j3d.OBJWriter,Service Provider,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 35 methods
com.eteks.sweethome3d.j3d.PhotoRenderer,Service Provider,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: ObserverCamera; HomeFurnitureGroup; HomeLight; Wall; Room in method PhotoRenderer
com.eteks.sweethome3d.j3d.PhotoRenderer,Service Provider,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: ObserverCamera; HomeFurnitureGroup; HomeLight; Wall; Room in method PhotoRenderer
com.eteks.sweethome3d.j3d.PhotoRenderer,Service Provider,Insufficient Modularization,The tool detected the smell in this class because the class is highly complex. The sum of cyclomatic complexity of all methods of this class (i.e. WMC) is: 203
com.eteks.sweethome3d.j3d.PhotoRenderer$Quality,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.j3d.PhotoRenderer$PhotoObject3DFactory,Service Provider,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: Room; ObserverCamera in method createObject3D
com.eteks.sweethome3d.j3d.PhotoRenderer$PhotoObject3DFactory,Service Provider,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: Room; ObserverCamera in method createObject3D
com.eteks.sweethome3d.j3d.PhotoRenderer$BufferedImageDisplay,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.j3d.PhotoRenderer$SphereLightWithNoRepresentation,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.j3d.Room3D,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.j3d.TextureManager$ComparableTextureAngleTuple,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.j3d.Wall3D,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.j3d.Wall3D,Service Provider,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: HomeDoorOrWindow; DoorOrWindow in method createWallGeometries
com.eteks.sweethome3d.j3d.Wall3D,Service Provider,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: HomeDoorOrWindow; DoorOrWindow in method createWallGeometries
com.eteks.sweethome3d.j3d.Wall3D,Service Provider,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 30 methods
com.eteks.sweethome3d.model.AspectRatio,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: value"
com.eteks.sweethome3d.model.Camera,Information Holder,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 25 public methods
com.eteks.sweethome3d.model.Camera$Lens,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.model.Camera$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.model.CatalogLight,Structurer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.model.CatalogLight,Structurer,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): CatalogPieceOfFurniture; Light
com.eteks.sweethome3d.model.CatalogPieceOfFurniture,Information Holder,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: FurnitureCategory; CatalogPieceOfFurniture
com.eteks.sweethome3d.model.CatalogPieceOfFurniture,Information Holder,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 53 public methods
com.eteks.sweethome3d.model.CatalogTexture,Structurer,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: TexturesCategory; CatalogTexture
com.eteks.sweethome3d.model.CollectionEvent$Type,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.model.Compass,Service Provider,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 26 public methods
com.eteks.sweethome3d.model.Compass$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.model.Compass$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
