Class,Role Stereotype,Design Smell,Cause of the Smell
com.eteks.sweethome3d.model.DamagedHomeRecorderException,Information Holder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): RecorderException
com.eteks.sweethome3d.model.DimensionLine,Information Holder,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 27 public methods
com.eteks.sweethome3d.model.DimensionLine$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.model.DimensionLine$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.model.DoorOrWindow,Information Holder,Rebellious Hierarchy,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: isWidthDepthDeformable
com.eteks.sweethome3d.model.Home,Structurer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; CURRENT_VERSION; KEEP_BACKWARD_COMPATIBLITY; LEVEL_ELEVATION_COMPARATOR; furniture; furnitureChangeSupport; selectedItems; selectionListeners; allLevelsSelection; levels; selectedLevel; levelsChangeSupport; walls; wallsChangeSupport; rooms; roomsChangeSupport; polylines; polylinesChangeSupport; dimensionLines; dimensionLinesChangeSupport; labels; labelsChangeSupport; camera; name; wallHeight; modified; recovered; repaired; backgroundImage; observerCamera; topCamera; storedCameras; environment; print; furnitureSortedPropertyName; furnitureVisiblePropertyNames; furnitureDescendingSorted; visualProperties; properties; propertyChangeSupport; version; basePlanLocked; compass; skyColor; groundColor; groundTexture; lightColor; wallsAlpha; furnitureSortedProperty; furnitureVisibleProperties; furnitureWithDoorsAndWindows; furnitureWithGroups
com.eteks.sweethome3d.model.Home,Structurer,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: Wall; Camera; Compass in method duplicate
com.eteks.sweethome3d.model.Home,Structurer,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: Wall; Camera; Compass in method duplicate
com.eteks.sweethome3d.model.Home,Structurer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 104 public methods
com.eteks.sweethome3d.model.Home,Structurer,Hub-like Modularization,The tool detected the smell in this class because this class has high number of incoming as well as outgoing dependencies. Incoming dependecies: AppletApplication; AppletFurnitureTable; HomeAppletController; HomeAppletRecorder; ViewerHelper; HomeFrameController; HomeFramePane; MacOSXConfiguration; SweetHome3D; AutoRecoveryManager; DamagedHomeIOException; DefaultHomeInputStream; DefaultHomeOutputStream; HomeFileRecorder; HomeXMLExporter; HomeXMLHandler; Ground3D; HomePieceOfFurniture3D; LightSelectionListener; Label3D; Object3DBranch; Object3DBranchFactory; PhotoRenderer; PhotoObject3DFactory; Room3D; Wall3D; DamagedHomeRecorderException; HomeApplication; HomeRecorder; HomePluginController; Plugin; PluginManager; FurnitureTable; FurnitureTableColumnModel; FurnitureTreeTableModel; FurnitureFilter; FurnitureTransferHandler; HomeComponent3D; HomePane; OBJExporter; HomePDFPrinter; HomePrintableComponent; HomeTransferableList; MultipleLevelsPlanPanel; PhotoPanel; PhotoSizeAndQualityPanel; PhotosPanel; PlanComponent; PlanTransferHandler; PrintPreviewPanel; SwingViewFactory; VideoPanel; PhotoImageGenerator; Image3DGenerator; OperatingSystem; AbstractPhotoController; BackgroundImageWizardController; BackgroundImageUndoableEdit; CompassController; FurnitureController; Home3DAttributesController; Home3DAttributesModificationUndoableEdit; HomeController; HomeController3D; TopCameraState; HomeFurnitureController; FurnitureModificationUndoableEdit; HomeView; ImportedFurnitureWizardController; PieceOfFurnitureImportationUndoableEdit; LabelController; LabelCreationUndoableEdit; LabelModificationUndoableEdit; LevelController; LevelModificationUndoableEdit; Object3DFactory; ObserverCameraController; PageSetupController; HomePrintModificationUndoableEdit; PhotoController; HomeCameraChangeListener; PhotosController; HomeStoredCamerasChangeListener; PlanController; SelectionMoveState; PolylineController; PolylinesModificationUndoableEdit; PrintPreviewController; RoomController; RoomsAndWallSidesModificationUndoableEdit; VideoController; ViewFactory; ViewFactoryAdapter; WallController; WallsModificationUndoableEdit. Outgoing dependencies: CollectionChangeSupport; Level; Camera; BackgroundImage; ObserverCamera; HomeEnvironment; HomePrint; Compass; HomeTexture; SortableProperty; CollectionEvent; HomeFurnitureGroup; CollectionListener; HomePieceOfFurniture; SelectionListener; SelectionEvent; Selectable; Room; Wall; Polyline; DimensionLine; Label; Elevatable; Property; Type
com.eteks.sweethome3d.model.Home$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.model.Home$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.model.HomeEnvironment,Information Holder,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 47 public methods
com.eteks.sweethome3d.model.HomeEnvironment$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.model.HomeEnvironment$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.model.HomeEnvironment$DrawingMode,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.model.HomeFurnitureGroup,Structurer,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: HomeFurnitureGroup; LocationAndSizeChangeListener
com.eteks.sweethome3d.model.HomeFurnitureGroup,Structurer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 62 public methods
com.eteks.sweethome3d.model.HomeLight$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.model.HomeLight$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.model.HomePieceOfFurniture,Structurer,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: HomePieceOfFurniture; CatalogPieceOfFurniture in method HomePieceOfFurniture
