Class,Role Stereotype,Design Smells
com.eteks.sweethome3d.swing.HomeComponent3D,Interfacer,Unexploited Encapsulation; Broken Hierarchy; Missing Hierarchy; Insufficient Modularization; 
com.eteks.sweethome3d.swing.HomeComponent3D$ActionType,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.swing.HomeComponent3D$JCanvas3DWithNavigationPanel,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.HomeComponent3D$NavigationPanelChangeListener,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.HomeComponent3D$NavigationButton,Interfacer,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.HomeComponent3D$MoveCameraAction,#N/A,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.HomeComponent3D$MoveCameraSidewaysAction,#N/A,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.HomeComponent3D$ElevateCameraAction,#N/A,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.HomeComponent3D$RotateCameraYawAction,#N/A,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.HomeComponent3D$RotateCameraPitchAction,#N/A,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.HomeFurniturePanel,Interfacer,Unutilized Abstraction; Feature Envy; Insufficient Modularization; 
com.eteks.sweethome3d.swing.HomePane,#N/A,Feature Envy; Unexploited Encapsulation; Missing Hierarchy; Rebellious Hierarchy; Insufficient Modularization; 
com.eteks.sweethome3d.swing.HomePane$MenuActionType,#N/A,Unnecessary Abstraction; 
com.eteks.sweethome3d.swing.HomePane$LanguageChangeListener,#N/A,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.HomePane$FocusCycleRootChangeListener,#N/A,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.HomePane$FurnitureCatalogViewChangeListener,#N/A,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.HomePane$RulersVisibilityChangeListener,#N/A,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.HomePane$OBJExporter,#N/A,Imperative Abstraction; Unexploited Encapsulation; Missing Hierarchy; 
com.eteks.sweethome3d.swing.HomePane$ActionAdapter,#N/A,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.HomePane$SelectableFormat,#N/A,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.HomePane$PopupMenuListenerWithMouseLocation,#N/A,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.HomePDFPrinter,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.HomePrintableComponent,Interfacer,Unexploited Encapsulation; Missing Hierarchy; 
com.eteks.sweethome3d.swing.HomePrintableComponent$Variable,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.swing.HomeTransferableList,Structurer,Deficient Encapsulation; 
com.eteks.sweethome3d.swing.ImportedFurnitureWizardStepsPanel,Interfacer,Unutilized Abstraction; Feature Envy; Insufficient Modularization; 
com.eteks.sweethome3d.swing.ImportedFurnitureWizardStepsPanel$AbstractModelPreviewComponent,Coordinator,Broken Hierarchy; 
com.eteks.sweethome3d.swing.ImportedFurnitureWizardStepsPanel$AttributesPreviewComponent,Coordinator,Broken Hierarchy; 
